what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1421037144896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1421037144905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037148218
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.findNext",1421037151381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1421037152767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1421037167244
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1421037169127
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1421037169367
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1421037170931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037171846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037173908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037174224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037176131
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1421037176508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037178616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037187928
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1421037187936
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1421037223825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1421037231087
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1421037235481
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1421037237022
no handler,command,org.activiti.designer.gui,,"org.activiti.designer.gui.actions.copyCommand",1421037248694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1421037249342
activated,editor,org.activiti.designer.eclipse,5.8.0,"org.activiti.designer.editor.bpmn",1421037251173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037251871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1421037251949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1421037251972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037253011
activated,editor,org.activiti.designer.eclipse,5.8.0,"org.activiti.designer.editor.bpmn",1421037254105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037254833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1421037254914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1421037254956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037256904
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1421037266754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1421037266928
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1421037267090
error,log,,,"Save Failed",1421037282428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037282516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1421037282584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037284166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037287343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037287491
error,log,,,"Save Failed",1421037291186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037291251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1421037291309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421037292201
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1421037293342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1421037293856
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1421037295477
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1421037295682
opened,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1421037300003
activated,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1421037300270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1421037306734
activated,editor,org.activiti.designer.eclipse,5.8.0,"org.activiti.designer.editor.bpmn",1421037308997
